,condition,outcome,persona,response
0,orchid orangutan; defiant dragonfly,gender,p0016,2
948,orchid orangutan; defiant dragonfly,year_birth,p2273,1993
949,orchid orangutan; defiant dragonfly,year_birth,p2275,1984
950,orchid orangutan; defiant dragonfly,year_birth,p2276,1985
951,orchid orangutan; defiant dragonfly,year_birth,p2283,1964
952,orchid orangutan; defiant dragonfly,year_birth,p2287,1957
953,orchid orangutan; defiant dragonfly,year_birth,p2296,1992
954,orchid orangutan; defiant dragonfly,year_birth,p2298,1994
955,orchid orangutan; defiant dragonfly,year_birth,p2304,1995
956,orchid orangutan; defiant dragonfly,year_birth,p2310,1986
957,orchid orangutan; defiant dragonfly,year_birth,p2322,1988
958,orchid orangutan; defiant dragonfly,year_birth,p2326,1990
959,orchid orangutan; defiant dragonfly,year_birth,p2330,1996
960,orchid orangutan; defiant dragonfly,year_birth,p2331,1997
961,orchid orangutan; defiant dragonfly,year_birth,p2333,1967
962,orchid orangutan; defiant dragonfly,year_birth,p2347,1972
963,orchid orangutan; defiant dragonfly,year_birth,p2350,1989
964,orchid orangutan; defiant dragonfly,year_birth,p2351,1986
965,orchid orangutan; defiant dragonfly,year_birth,p2353,1998
966,orchid orangutan; defiant dragonfly,year_birth,p2355,1988
967,orchid orangutan; defiant dragonfly,year_birth,p2363,1982
968,orchid orangutan; defiant dragonfly,year_birth,p2378,1994
969,orchid orangutan; defiant dragonfly,year_birth,p2380,1994
970,orchid orangutan; defiant dragonfly,year_birth,p2387,1986
971,orchid orangutan; defiant dragonfly,year_birth,p2398,1990
972,orchid orangutan; defiant dragonfly,year_birth,p2400,1961
973,orchid orangutan; defiant dragonfly,year_birth,p2403,1971
974,orchid orangutan; defiant dragonfly,year_birth,p2408,1980
975,orchid orangutan; defiant dragonfly,year_birth,p2418,1987
976,orchid orangutan; defiant dragonfly,year_birth,p2426,1951
977,orchid orangutan; defiant dragonfly,year_birth,p2428,1989
978,orchid orangutan; defiant dragonfly,year_birth,p2434,1968
979,orchid orangutan; defiant dragonfly,year_birth,p2446,1983
980,orchid orangutan; defiant dragonfly,year_birth,p2452,1975
981,orchid orangutan; defiant dragonfly,year_birth,p2454,1978
982,orchid orangutan; defiant dragonfly,year_birth,p2462,1993
983,orchid orangutan; defiant dragonfly,year_birth,p2467,1972
984,orchid orangutan; defiant dragonfly,year_birth,p2482,1967
985,orchid orangutan; defiant dragonfly,year_birth,p2489,1952
986,orchid orangutan; defiant dragonfly,year_birth,p2490,1998
987,orchid orangutan; defiant dragonfly,year_birth,p2494,1947
988,orchid orangutan; defiant dragonfly,year_birth,p2502,1955
989,orchid orangutan; defiant dragonfly,year_birth,p2503,1987
990,orchid orangutan; defiant dragonfly,year_birth,p2522,1945
991,orchid orangutan; defiant dragonfly,year_birth,p2524,1946
992,orchid orangutan; defiant dragonfly,year_birth,p2533,1951
993,orchid orangutan; defiant dragonfly,year_birth,p2566,1968
994,orchid orangutan; defiant dragonfly,year_birth,p2571,1952
995,orchid orangutan; defiant dragonfly,year_birth,p2573,1969
996,orchid orangutan; defiant dragonfly,year_birth,p2582,1985
997,orchid orangutan; defiant dragonfly,year_birth,p2591,1986
998,orchid orangutan; defiant dragonfly,year_birth,p2592,1981
999,orchid orangutan; defiant dragonfly,year_birth,p2595,1973
1000,orchid orangutan; defiant dragonfly,race,p0016,1
1001,orchid orangutan; defiant dragonfly,race,p0022,1
1002,orchid orangutan; defiant dragonfly,race,p0023,1
1003,orchid orangutan; defiant dragonfly,race,p0026,1
1004,orchid orangutan; defiant dragonfly,race,p0034,1
1005,orchid orangutan; defiant dragonfly,race,p0036,1
1006,orchid orangutan; defiant dragonfly,race,p0037,1
1007,orchid orangutan; defiant dragonfly,race,p0042,1
1008,orchid orangutan; defiant dragonfly,race,p0057,1
1009,orchid orangutan; defiant dragonfly,race,p0066,1
1010,orchid orangutan; defiant dragonfly,race,p0069,1
1011,orchid orangutan; defiant dragonfly,race,p0072,1
1012,orchid orangutan; defiant dragonfly,race,p0073,1
1013,orchid orangutan; defiant dragonfly,race,p0082,1
1014,orchid orangutan; defiant dragonfly,race,p0091,1
1015,orchid orangutan; defiant dragonfly,race,p0092,2
1016,orchid orangutan; defiant dragonfly,race,p0093,1
1017,orchid orangutan; defiant dragonfly,race,p0095,1
1018,orchid orangutan; defiant dragonfly,race,p0107,1
1019,orchid orangutan; defiant dragonfly,race,p0114,1
1020,orchid orangutan; defiant dragonfly,race,p0116,1
1021,orchid orangutan; defiant dragonfly,race,p0118,1
1022,orchid orangutan; defiant dragonfly,race,p0119,1
1023,orchid orangutan; defiant dragonfly,race,p0126,1
1024,orchid orangutan; defiant dragonfly,race,p0129,1
1025,orchid orangutan; defiant dragonfly,race,p0136,1
1026,orchid orangutan; defiant dragonfly,race,p0138,1
1027,orchid orangutan; defiant dragonfly,race,p0144,5
1028,orchid orangutan; defiant dragonfly,race,p0150,2
1029,orchid orangutan; defiant dragonfly,race,p0152,1
1030,orchid orangutan; defiant dragonfly,race,p0158,1
1031,orchid orangutan; defiant dragonfly,race,p0161,1
1032,orchid orangutan; defiant dragonfly,race,p0164,1
1033,orchid orangutan; defiant dragonfly,race,p0175,1
1034,orchid orangutan; defiant dragonfly,race,p0177,5
1035,orchid orangutan; defiant dragonfly,race,p0178,1
1036,orchid orangutan; defiant dragonfly,race,p0181,1
1037,orchid orangutan; defiant dragonfly,race,p0186,1
1038,orchid orangutan; defiant dragonfly,race,p0196,1
1039,orchid orangutan; defiant dragonfly,race,p0198,1
1040,orchid orangutan; defiant dragonfly,race,p0202,1
1041,orchid orangutan; defiant dragonfly,race,p0205,1
1042,orchid orangutan; defiant dragonfly,race,p0207,1
1043,orchid orangutan; defiant dragonfly,race,p0211,1
1044,orchid orangutan; defiant dragonfly,race,p0227,5
1045,orchid orangutan; defiant dragonfly,race,p0229,2
1046,orchid orangutan; defiant dragonfly,race,p0232,1
1047,orchid orangutan; defiant dragonfly,race,p0233,1
1048,orchid orangutan; defiant dragonfly,race,p0237,1
1049,orchid orangutan; defiant dragonfly,race,p0258,1
1050,orchid orangutan; defiant dragonfly,race,p0268,1
1051,orchid orangutan; defiant dragonfly,race,p0274,2
1052,orchid orangutan; defiant dragonfly,race,p0275,2
1053,orchid orangutan; defiant dragonfly,race,p0277,2
1054,orchid orangutan; defiant dragonfly,race,p0288,2
1055,orchid orangutan; defiant dragonfly,race,p0291,1
1056,orchid orangutan; defiant dragonfly,race,p0307,1
1057,orchid orangutan; defiant dragonfly,race,p0308,1
1058,orchid orangutan; defiant dragonfly,race,p0317,1
1059,orchid orangutan; defiant dragonfly,race,p0325,1
1060,orchid orangutan; defiant dragonfly,race,p0327,1
1061,orchid orangutan; defiant dragonfly,race,p0334,1
1062,orchid orangutan; defiant dragonfly,race,p0336,1
1063,orchid orangutan; defiant dragonfly,race,p0338,1
1064,orchid orangutan; defiant dragonfly,race,p0342,2
1065,orchid orangutan; defiant dragonfly,race,p0349,1
1066,orchid orangutan; defiant dragonfly,race,p0356,1
1067,orchid orangutan; defiant dragonfly,race,p0358,1
1068,orchid orangutan; defiant dragonfly,race,p0363,1
1069,orchid orangutan; defiant dragonfly,race,p0364,1
1070,orchid orangutan; defiant dragonfly,race,p0369,1
1071,orchid orangutan; defiant dragonfly,race,p0370,1
1072,orchid orangutan; defiant dragonfly,race,p0371,1
1073,orchid orangutan; defiant dragonfly,race,p0379,1
1074,orchid orangutan; defiant dragonfly,race,p0386,1
1075,orchid orangutan; defiant dragonfly,race,p0396,1
1076,orchid orangutan; defiant dragonfly,race,p0403,2
1077,orchid orangutan; defiant dragonfly,race,p0405,1
1078,orchid orangutan; defiant dragonfly,race,p0412,1
1079,orchid orangutan; defiant dragonfly,race,p0415,1
1080,orchid orangutan; defiant dragonfly,race,p0416,1
1081,orchid orangutan; defiant dragonfly,race,p0417,1
1082,orchid orangutan; defiant dragonfly,race,p0418,1
1083,orchid orangutan; defiant dragonfly,race,p0430,1
1084,orchid orangutan; defiant dragonfly,race,p0431,1
1085,orchid orangutan; defiant dragonfly,race,p0434,1
1086,orchid orangutan; defiant dragonfly,race,p0438,1
1087,orchid orangutan; defiant dragonfly,race,p0441,5
1088,orchid orangutan; defiant dragonfly,race,p0442,2
1089,orchid orangutan; defiant dragonfly,race,p0449,1
1090,orchid orangutan; defiant dragonfly,race,p0450,1
1091,orchid orangutan; defiant dragonfly,race,p0465,1
1092,orchid orangutan; defiant dragonfly,race,p0471,1
1093,orchid orangutan; defiant dragonfly,race,p0477,1
1094,orchid orangutan; defiant dragonfly,race,p0483,2
1095,orchid orangutan; defiant dragonfly,race,p0486,1
1096,orchid orangutan; defiant dragonfly,race,p0487,1
1097,orchid orangutan; defiant dragonfly,race,p0489,1
1098,orchid orangutan; defiant dragonfly,race,p0497,1
1099,orchid orangutan; defiant dragonfly,race,p0502,1
1100,orchid orangutan; defiant dragonfly,race,p0503,1
1101,orchid orangutan; defiant dragonfly,race,p0506,1
1102,orchid orangutan; defiant dragonfly,race,p0511,1
1103,orchid orangutan; defiant dragonfly,race,p0523,1
1104,orchid orangutan; defiant dragonfly,race,p0534,1
1105,orchid orangutan; defiant dragonfly,race,p0536,1
1106,orchid orangutan; defiant dragonfly,race,p0542,1
1107,orchid orangutan; defiant dragonfly,race,p0547,1
1108,orchid orangutan; defiant dragonfly,race,p0553,1
1109,orchid orangutan; defiant dragonfly,race,p0559,1
1110,orchid orangutan; defiant dragonfly,race,p0566,1
1111,orchid orangutan; defiant dragonfly,race,p0568,5
1112,orchid orangutan; defiant dragonfly,race,p0570,2
1113,orchid orangutan; defiant dragonfly,race,p0573,1
1114,orchid orangutan; defiant dragonfly,race,p0578,1
1115,orchid orangutan; defiant dragonfly,race,p0594,1
1116,orchid orangutan; defiant dragonfly,race,p0597,1
1117,orchid orangutan; defiant dragonfly,race,p0601,1
1118,orchid orangutan; defiant dragonfly,race,p0602,1
1119,orchid orangutan; defiant dragonfly,race,p0605,1
1120,orchid orangutan; defiant dragonfly,race,p0615,1
1121,orchid orangutan; defiant dragonfly,race,p0620,1
1122,orchid orangutan; defiant dragonfly,race,p0626,1
1123,orchid orangutan; defiant dragonfly,race,p0629,1
1124,orchid orangutan; defiant dragonfly,race,p0633,1
1125,orchid orangutan; defiant dragonfly,race,p0638,1
1126,orchid orangutan; defiant dragonfly,race,p0639,1
1127,orchid orangutan; defiant dragonfly,race,p0640,1
1128,orchid orangutan; defiant dragonfly,race,p0655,1
1129,orchid orangutan; defiant dragonfly,race,p0656,2
1130,orchid orangutan; defiant dragonfly,race,p0658,1
1131,orchid orangutan; defiant dragonfly,race,p0661,1
1132,orchid orangutan; defiant dragonfly,race,p0669,1
1133,orchid orangutan; defiant dragonfly,race,p0670,2
1134,orchid orangutan; defiant dragonfly,race,p0672,5
1135,orchid orangutan; defiant dragonfly,race,p0674,1
1136,orchid orangutan; defiant dragonfly,race,p0678,1
1137,orchid orangutan; defiant dragonfly,race,p0683,1
1138,orchid orangutan; defiant dragonfly,race,p0686,1
1139,orchid orangutan; defiant dragonfly,race,p0687,5
1140,orchid orangutan; defiant dragonfly,race,p0698,1
1141,orchid orangutan; defiant dragonfly,race,p0700,1
1142,orchid orangutan; defiant dragonfly,race,p0703,1
1143,orchid orangutan; defiant dragonfly,race,p0718,2
1144,orchid orangutan; defiant dragonfly,race,p0744,1
1145,orchid orangutan; defiant dragonfly,race,p0745,1
1146,orchid orangutan; defiant dragonfly,race,p0753,1
1147,orchid orangutan; defiant dragonfly,race,p0770,1
1148,orchid orangutan; defiant dragonfly,race,p0771,5
1149,orchid orangutan; defiant dragonfly,race,p0777,1
1150,orchid orangutan; defiant dragonfly,race,p0779,1
1151,orchid orangutan; defiant dragonfly,race,p0780,1
1152,orchid orangutan; defiant dragonfly,race,p0783,1
1153,orchid orangutan; defiant dragonfly,race,p0785,1
1154,orchid orangutan; defiant dragonfly,race,p0786,2
1155,orchid orangutan; defiant dragonfly,race,p0794,1
1156,orchid orangutan; defiant dragonfly,race,p0798,1
1157,orchid orangutan; defiant dragonfly,race,p0800,1
1158,orchid orangutan; defiant dragonfly,race,p0820,1
1159,orchid orangutan; defiant dragonfly,race,p0841,1
1160,orchid orangutan; defiant dragonfly,race,p0849,1
1161,orchid orangutan; defiant dragonfly,race,p0862,5
1162,orchid orangutan; defiant dragonfly,race,p0867,2
1163,orchid orangutan; defiant dragonfly,race,p0869,1
1164,orchid orangutan; defiant dragonfly,race,p0872,1
1165,orchid orangutan; defiant dragonfly,race,p0880,5
1166,orchid orangutan; defiant dragonfly,race,p0891,1
1167,orchid orangutan; defiant dragonfly,race,p0916,1
1168,orchid orangutan; defiant dragonfly,race,p0917,1
1169,orchid orangutan; defiant dragonfly,race,p0919,1
1170,orchid orangutan; defiant dragonfly,race,p0922,1
1171,orchid orangutan; defiant dragonfly,race,p0925,1
1172,orchid orangutan; defiant dragonfly,race,p0927,1
1173,orchid orangutan; defiant dragonfly,race,p0929,1
1174,orchid orangutan; defiant dragonfly,race,p0930,1
1175,orchid orangutan; defiant dragonfly,race,p0931,1
1176,orchid orangutan; defiant dragonfly,race,p0933,5
1177,orchid orangutan; defiant dragonfly,race,p0934,1
1178,orchid orangutan; defiant dragonfly,race,p0936,1
1179,orchid orangutan; defiant dragonfly,race,p0938,1
1180,orchid orangutan; defiant dragonfly,race,p0939,1
1181,orchid orangutan; defiant dragonfly,race,p0946,1
1182,orchid orangutan; defiant dragonfly,race,p0951,2
1183,orchid orangutan; defiant dragonfly,race,p0956,1
1184,orchid orangutan; defiant dragonfly,race,p0962,1
1185,orchid orangutan; defiant dragonfly,race,p0963,1
1186,orchid orangutan; defiant dragonfly,race,p0969,1
1187,orchid orangutan; defiant dragonfly,race,p0972,1
1188,orchid orangutan; defiant dragonfly,race,p0975,1
1189,orchid orangutan; defiant dragonfly,race,p0985,2
1190,orchid orangutan; defiant dragonfly,race,p0993,2
1191,orchid orangutan; defiant dragonfly,race,p0996,1
1192,orchid orangutan; defiant dragonfly,race,p1011,1
1193,orchid orangutan; defiant dragonfly,race,p1017,1
1194,orchid orangutan; defiant dragonfly,race,p1020,1
1195,orchid orangutan; defiant dragonfly,race,p1022,1
1196,orchid orangutan; defiant dragonfly,race,p1024,1
1197,orchid orangutan; defiant dragonfly,race,p1027,5
1198,orchid orangutan; defiant dragonfly,race,p1028,1
1199,orchid orangutan; defiant dragonfly,race,p1029,2
1200,orchid orangutan; defiant dragonfly,race,p1032,1
1201,orchid orangutan; defiant dragonfly,race,p1040,5
1202,orchid orangutan; defiant dragonfly,race,p1047,2
1203,orchid orangutan; defiant dragonfly,race,p1048,1
1204,orchid orangutan; defiant dragonfly,race,p1053,5
1205,orchid orangutan; defiant dragonfly,race,p1057,1
1206,orchid orangutan; defiant dragonfly,race,p1058,1
1207,orchid orangutan; defiant dragonfly,race,p1063,1
1208,orchid orangutan; defiant dragonfly,race,p1064,1
1209,orchid orangutan; defiant dragonfly,race,p1065,1
1210,orchid orangutan; defiant dragonfly,race,p1069,1
1211,orchid orangutan; defiant dragonfly,race,p1072,1
1212,orchid orangutan; defiant dragonfly,race,p1073,2
1213,orchid orangutan; defiant dragonfly,race,p1075,1
1214,orchid orangutan; defiant dragonfly,race,p1076,2
1215,orchid orangutan; defiant dragonfly,race,p1083,1
1216,orchid orangutan; defiant dragonfly,race,p1089,1
1217,orchid orangutan; defiant dragonfly,race,p1093,1
1218,orchid orangutan; defiant dragonfly,race,p1096,1
1219,orchid orangutan; defiant dragonfly,race,p1100,1
1220,orchid orangutan; defiant dragonfly,race,p1106,2
1221,orchid orangutan; defiant dragonfly,race,p1107,1
1222,orchid orangutan; defiant dragonfly,race,p1113,1
1223,orchid orangutan; defiant dragonfly,race,p1117,1
1224,orchid orangutan; defiant dragonfly,race,p1120,1
1225,orchid orangutan; defiant dragonfly,race,p1134,1
1226,orchid orangutan; defiant dragonfly,race,p1136,1
1227,orchid orangutan; defiant dragonfly,race,p1138,1
1228,orchid orangutan; defiant dragonfly,race,p1144,1
1229,orchid orangutan; defiant dragonfly,race,p1145,1
1230,orchid orangutan; defiant dragonfly,race,p1147,1
1231,orchid orangutan; defiant dragonfly,race,p1148,1
1232,orchid orangutan; defiant dragonfly,race,p1154,1
1233,orchid orangutan; defiant dragonfly,race,p1159,2
1234,orchid orangutan; defiant dragonfly,race,p1167,5
1235,orchid orangutan; defiant dragonfly,race,p1175,1
1236,orchid orangutan; defiant dragonfly,race,p1178,1
1237,orchid orangutan; defiant dragonfly,race,p1184,1
1238,orchid orangutan; defiant dragonfly,race,p1186,1
1239,orchid orangutan; defiant dragonfly,race,p1196,1
1240,orchid orangutan; defiant dragonfly,race,p1197,5
1241,orchid orangutan; defiant dragonfly,race,p1203,1
1242,orchid orangutan; defiant dragonfly,race,p1219,2
1243,orchid orangutan; defiant dragonfly,race,p1225,1
1244,orchid orangutan; defiant dragonfly,race,p1234,1
1245,orchid orangutan; defiant dragonfly,race,p1242,1
1246,orchid orangutan; defiant dragonfly,race,p1244,1
1247,orchid orangutan; defiant dragonfly,race,p1249,1
1248,orchid orangutan; defiant dragonfly,race,p1250,1
1249,orchid orangutan; defiant dragonfly,race,p1256,5
1250,orchid orangutan; defiant dragonfly,race,p1258,1
1251,orchid orangutan; defiant dragonfly,race,p1260,2
1252,orchid orangutan; defiant dragonfly,race,p1262,1
1253,orchid orangutan; defiant dragonfly,race,p1264,1
1254,orchid orangutan; defiant dragonfly,race,p1265,1
1255,orchid orangutan; defiant dragonfly,race,p1269,1
1256,orchid orangutan; defiant dragonfly,race,p1272,1
1257,orchid orangutan; defiant dragonfly,race,p1278,1
1258,orchid orangutan; defiant dragonfly,race,p1281,5
1259,orchid orangutan; defiant dragonfly,race,p1292,1
1260,orchid orangutan; defiant dragonfly,race,p1299,1
1261,orchid orangutan; defiant dragonfly,race,p1312,1
1262,orchid orangutan; defiant dragonfly,race,p1322,1
1263,orchid orangutan; defiant dragonfly,race,p1326,1
1264,orchid orangutan; defiant dragonfly,race,p1330,1
1265,orchid orangutan; defiant dragonfly,race,p1335,1
1266,orchid orangutan; defiant dragonfly,race,p1337,1
1267,orchid orangutan; defiant dragonfly,race,p1340,1
1268,orchid orangutan; defiant dragonfly,race,p1345,1
1269,orchid orangutan; defiant dragonfly,race,p1351,1
1270,orchid orangutan; defiant dragonfly,race,p1355,1
1271,orchid orangutan; defiant dragonfly,race,p1362,1
1272,orchid orangutan; defiant dragonfly,race,p1365,1
1273,orchid orangutan; defiant dragonfly,race,p1366,1
1274,orchid orangutan; defiant dragonfly,race,p1367,1
1275,orchid orangutan; defiant dragonfly,race,p1370,1
1276,orchid orangutan; defiant dragonfly,race,p1371,1
1277,orchid orangutan; defiant dragonfly,race,p1373,1
1278,orchid orangutan; defiant dragonfly,race,p1375,1
1279,orchid orangutan; defiant dragonfly,race,p1376,1
1280,orchid orangutan; defiant dragonfly,race,p1379,2
1281,orchid orangutan; defiant dragonfly,race,p1381,1
1282,orchid orangutan; defiant dragonfly,race,p1393,1
1283,orchid orangutan; defiant dragonfly,race,p1396,5
1284,orchid orangutan; defiant dragonfly,race,p1398,5
1285,orchid orangutan; defiant dragonfly,race,p1404,1
1286,orchid orangutan; defiant dragonfly,race,p1406,1
1287,orchid orangutan; defiant dragonfly,race,p1407,1
1288,orchid orangutan; defiant dragonfly,race,p1409,1
1289,orchid orangutan; defiant dragonfly,race,p1412,2
1290,orchid orangutan; defiant dragonfly,race,p1414,1
1291,orchid orangutan; defiant dragonfly,race,p1424,1
1292,orchid orangutan; defiant dragonfly,race,p1425,1
1293,orchid orangutan; defiant dragonfly,race,p1429,2
1294,orchid orangutan; defiant dragonfly,race,p1434,1
1295,orchid orangutan; defiant dragonfly,race,p1441,2
1296,orchid orangutan; defiant dragonfly,race,p1445,2
1297,orchid orangutan; defiant dragonfly,race,p1450,1
1298,orchid orangutan; defiant dragonfly,race,p1454,1
1299,orchid orangutan; defiant dragonfly,race,p1456,1
1300,orchid orangutan; defiant dragonfly,race,p1457,2
1301,orchid orangutan; defiant dragonfly,race,p1458,1
1302,orchid orangutan; defiant dragonfly,race,p1469,1
1303,orchid orangutan; defiant dragonfly,race,p1470,1
1304,orchid orangutan; defiant dragonfly,race,p1481,5
1305,orchid orangutan; defiant dragonfly,race,p1488,5
1306,orchid orangutan; defiant dragonfly,race,p1492,1
1307,orchid orangutan; defiant dragonfly,race,p1495,1
1308,orchid orangutan; defiant dragonfly,race,p1497,1
1309,orchid orangutan; defiant dragonfly,race,p1499,1
1310,orchid orangutan; defiant dragonfly,race,p1503,1
1311,orchid orangutan; defiant dragonfly,race,p1511,1
1312,orchid orangutan; defiant dragonfly,race,p1512,1
1313,orchid orangutan; defiant dragonfly,race,p1518,1
1314,orchid orangutan; defiant dragonfly,race,p1519,1
1315,orchid orangutan; defiant dragonfly,race,p1520,1
1316,orchid orangutan; defiant dragonfly,race,p1524,1
1317,orchid orangutan; defiant dragonfly,race,p1526,1
1318,orchid orangutan; defiant dragonfly,race,p1537,1
1319,orchid orangutan; defiant dragonfly,race,p1545,1
1320,orchid orangutan; defiant dragonfly,race,p1547,2
1321,orchid orangutan; defiant dragonfly,race,p1552,5
1322,orchid orangutan; defiant dragonfly,race,p1567,1
1323,orchid orangutan; defiant dragonfly,race,p1568,1
1324,orchid orangutan; defiant dragonfly,race,p1579,1
1325,orchid orangutan; defiant dragonfly,race,p1587,2
1326,orchid orangutan; defiant dragonfly,race,p1596,1
1327,orchid orangutan; defiant dragonfly,race,p1600,1
1328,orchid orangutan; defiant dragonfly,race,p1603,2
1329,orchid orangutan; defiant dragonfly,race,p1604,1
1330,orchid orangutan; defiant dragonfly,race,p1610,1
1331,orchid orangutan; defiant dragonfly,race,p1618,1
1332,orchid orangutan; defiant dragonfly,race,p1619,1
1333,orchid orangutan; defiant dragonfly,race,p1622,5
1334,orchid orangutan; defiant dragonfly,race,p1623,5
1335,orchid orangutan; defiant dragonfly,race,p1630,1
1336,orchid orangutan; defiant dragonfly,race,p1641,1
1337,orchid orangutan; defiant dragonfly,race,p1649,5
1338,orchid orangutan; defiant dragonfly,race,p1652,5
1339,orchid orangutan; defiant dragonfly,race,p1665,1
1340,orchid orangutan; defiant dragonfly,race,p1669,1
1341,orchid orangutan; defiant dragonfly,race,p1685,1
1342,orchid orangutan; defiant dragonfly,race,p1693,1
1343,orchid orangutan; defiant dragonfly,race,p1698,2
1344,orchid orangutan; defiant dragonfly,race,p1704,1
1345,orchid orangutan; defiant dragonfly,race,p1711,1
1346,orchid orangutan; defiant dragonfly,race,p1718,1
1347,orchid orangutan; defiant dragonfly,race,p1732,1
1348,orchid orangutan; defiant dragonfly,race,p1739,1
1349,orchid orangutan; defiant dragonfly,race,p1741,1
1350,orchid orangutan; defiant dragonfly,race,p1746,1
1351,orchid orangutan; defiant dragonfly,race,p1751,1
1352,orchid orangutan; defiant dragonfly,race,p1754,1
1353,orchid orangutan; defiant dragonfly,race,p1769,1
1354,orchid orangutan; defiant dragonfly,race,p1771,1
1355,orchid orangutan; defiant dragonfly,race,p1776,2
1356,orchid orangutan; defiant dragonfly,race,p1780,1
1357,orchid orangutan; defiant dragonfly,race,p1785,1
1358,orchid orangutan; defiant dragonfly,race,p1791,2
1359,orchid orangutan; defiant dragonfly,race,p1793,1
1360,orchid orangutan; defiant dragonfly,race,p1796,1
1361,orchid orangutan; defiant dragonfly,race,p1805,1
1362,orchid orangutan; defiant dragonfly,race,p1812,1
1363,orchid orangutan; defiant dragonfly,race,p1816,1
1364,orchid orangutan; defiant dragonfly,race,p1819,1
1365,orchid orangutan; defiant dragonfly,race,p1825,1
1366,orchid orangutan; defiant dragonfly,race,p1836,1
1367,orchid orangutan; defiant dragonfly,race,p1839,1
1368,orchid orangutan; defiant dragonfly,race,p1861,5
1369,orchid orangutan; defiant dragonfly,race,p1863,1
1370,orchid orangutan; defiant dragonfly,race,p1873,1
1371,orchid orangutan; defiant dragonfly,race,p1875,1
1372,orchid orangutan; defiant dragonfly,race,p1876,1
1373,orchid orangutan; defiant dragonfly,race,p1877,1
1374,orchid orangutan; defiant dragonfly,race,p1880,1
1375,orchid orangutan; defiant dragonfly,race,p1883,5
1376,orchid orangutan; defiant dragonfly,race,p1889,1
1377,orchid orangutan; defiant dragonfly,race,p1893,5
1378,orchid orangutan; defiant dragonfly,race,p1896,1
1379,orchid orangutan; defiant dragonfly,race,p1913,1
1380,orchid orangutan; defiant dragonfly,race,p1922,1
1381,orchid orangutan; defiant dragonfly,race,p1930,1
1382,orchid orangutan; defiant dragonfly,race,p1935,1
1383,orchid orangutan; defiant dragonfly,race,p1940,5
1384,orchid orangutan; defiant dragonfly,race,p1948,1
1385,orchid orangutan; defiant dragonfly,race,p1950,1
1386,orchid orangutan; defiant dragonfly,race,p1954,1
1387,orchid orangutan; defiant dragonfly,race,p1956,1
1388,orchid orangutan; defiant dragonfly,race,p1958,1
1389,orchid orangutan; defiant dragonfly,race,p1967,1
1390,orchid orangutan; defiant dragonfly,race,p1973,1
1391,orchid orangutan; defiant dragonfly,race,p1978,1
1392,orchid orangutan; defiant dragonfly,race,p1983,1
1393,orchid orangutan; defiant dragonfly,race,p1984,2
1394,orchid orangutan; defiant dragonfly,race,p1995,1
1395,orchid orangutan; defiant dragonfly,race,p1996,1
1396,orchid orangutan; defiant dragonfly,race,p1997,1
1397,orchid orangutan; defiant dragonfly,race,p2001,1
1398,orchid orangutan; defiant dragonfly,race,p2002,2
1399,orchid orangutan; defiant dragonfly,race,p2013,1
1400,orchid orangutan; defiant dragonfly,race,p2014,1
1401,orchid orangutan; defiant dragonfly,race,p2016,5
1402,orchid orangutan; defiant dragonfly,race,p2018,2
1403,orchid orangutan; defiant dragonfly,race,p2023,1
1404,orchid orangutan; defiant dragonfly,race,p2025,1
1405,orchid orangutan; defiant dragonfly,race,p2028,1
1406,orchid orangutan; defiant dragonfly,race,p2030,1
1407,orchid orangutan; defiant dragonfly,race,p2033,1
1408,orchid orangutan; defiant dragonfly,race,p2040,2
1409,orchid orangutan; defiant dragonfly,race,p2051,1
1410,orchid orangutan; defiant dragonfly,race,p2052,1
1411,orchid orangutan; defiant dragonfly,race,p2066,1
1412,orchid orangutan; defiant dragonfly,race,p2067,1
1413,orchid orangutan; defiant dragonfly,race,p2073,1
1414,orchid orangutan; defiant dragonfly,race,p2077,2
1415,orchid orangutan; defiant dragonfly,race,p2078,5
1416,orchid orangutan; defiant dragonfly,race,p2086,1
1417,orchid orangutan; defiant dragonfly,race,p2089,1
1418,orchid orangutan; defiant dragonfly,race,p2093,1
1419,orchid orangutan; defiant dragonfly,race,p2094,1
1420,orchid orangutan; defiant dragonfly,race,p2111,2
1421,orchid orangutan; defiant dragonfly,race,p2117,1
1422,orchid orangutan; defiant dragonfly,race,p2121,1
1423,orchid orangutan; defiant dragonfly,race,p2127,1
1424,orchid orangutan; defiant dragonfly,race,p2141,1
1425,orchid orangutan; defiant dragonfly,race,p2142,2
1426,orchid orangutan; defiant dragonfly,race,p2143,1
1427,orchid orangutan; defiant dragonfly,race,p2153,3
1428,orchid orangutan; defiant dragonfly,race,p2155,3
1429,orchid orangutan; defiant dragonfly,race,p2169,3
1430,orchid orangutan; defiant dragonfly,race,p2187,3
1431,orchid orangutan; defiant dragonfly,race,p2188,3
1432,orchid orangutan; defiant dragonfly,race,p2197,3
1433,orchid orangutan; defiant dragonfly,race,p2213,3
1434,orchid orangutan; defiant dragonfly,race,p2214,3
1435,orchid orangutan; defiant dragonfly,race,p2215,3
1436,orchid orangutan; defiant dragonfly,race,p2220,3
1437,orchid orangutan; defiant dragonfly,race,p2223,3
1438,orchid orangutan; defiant dragonfly,race,p2229,3
1439,orchid orangutan; defiant dragonfly,race,p2234,3
