,condition,outcome,persona,response
0,giant gibbon; brick bobcat,gender,p0016,2
1055,giant gibbon; brick bobcat,race,p0291,1
1056,giant gibbon; brick bobcat,race,p0307,1
1057,giant gibbon; brick bobcat,race,p0308,1
1058,giant gibbon; brick bobcat,race,p0317,1
1059,giant gibbon; brick bobcat,race,p0325,1
1060,giant gibbon; brick bobcat,race,p0327,1
1061,giant gibbon; brick bobcat,race,p0334,1
1062,giant gibbon; brick bobcat,race,p0336,1
1063,giant gibbon; brick bobcat,race,p0338,1
1064,giant gibbon; brick bobcat,race,p0342,2
1065,giant gibbon; brick bobcat,race,p0349,1
1066,giant gibbon; brick bobcat,race,p0356,1
1067,giant gibbon; brick bobcat,race,p0358,1
1068,giant gibbon; brick bobcat,race,p0363,1
1069,giant gibbon; brick bobcat,race,p0364,1
1070,giant gibbon; brick bobcat,race,p0369,1
1071,giant gibbon; brick bobcat,race,p0370,1
1072,giant gibbon; brick bobcat,race,p0371,1
1073,giant gibbon; brick bobcat,race,p0379,1
1074,giant gibbon; brick bobcat,race,p0386,1
1075,giant gibbon; brick bobcat,race,p0396,1
1076,giant gibbon; brick bobcat,race,p0403,2
1077,giant gibbon; brick bobcat,race,p0405,1
1078,giant gibbon; brick bobcat,race,p0412,1
1079,giant gibbon; brick bobcat,race,p0415,1
1080,giant gibbon; brick bobcat,race,p0416,1
1081,giant gibbon; brick bobcat,race,p0417,1
1082,giant gibbon; brick bobcat,race,p0418,1
1083,giant gibbon; brick bobcat,race,p0430,1
1084,giant gibbon; brick bobcat,race,p0431,1
1085,giant gibbon; brick bobcat,race,p0434,1
1086,giant gibbon; brick bobcat,race,p0438,1
1087,giant gibbon; brick bobcat,race,p0441,5
1088,giant gibbon; brick bobcat,race,p0442,2
1089,giant gibbon; brick bobcat,race,p0449,1
1090,giant gibbon; brick bobcat,race,p0450,1
1091,giant gibbon; brick bobcat,race,p0465,1
1092,giant gibbon; brick bobcat,race,p0471,1
1093,giant gibbon; brick bobcat,race,p0477,1
1094,giant gibbon; brick bobcat,race,p0483,2
1095,giant gibbon; brick bobcat,race,p0486,1
1096,giant gibbon; brick bobcat,race,p0487,1
1097,giant gibbon; brick bobcat,race,p0489,1
1098,giant gibbon; brick bobcat,race,p0497,1
1099,giant gibbon; brick bobcat,race,p0502,1
1100,giant gibbon; brick bobcat,race,p0503,1
1101,giant gibbon; brick bobcat,race,p0506,1
1102,giant gibbon; brick bobcat,race,p0511,1
1103,giant gibbon; brick bobcat,race,p0523,1
1104,giant gibbon; brick bobcat,race,p0534,1
1105,giant gibbon; brick bobcat,race,p0536,1
1106,giant gibbon; brick bobcat,race,p0542,1
1107,giant gibbon; brick bobcat,race,p0547,1
1108,giant gibbon; brick bobcat,race,p0553,1
1109,giant gibbon; brick bobcat,race,p0559,1
1110,giant gibbon; brick bobcat,race,p0566,1
1111,giant gibbon; brick bobcat,race,p0568,5
1112,giant gibbon; brick bobcat,race,p0570,2
1113,giant gibbon; brick bobcat,race,p0573,1
1114,giant gibbon; brick bobcat,race,p0578,1
1115,giant gibbon; brick bobcat,race,p0594,1
1116,giant gibbon; brick bobcat,race,p0597,1
1117,giant gibbon; brick bobcat,race,p0601,1
1118,giant gibbon; brick bobcat,race,p0602,1
1119,giant gibbon; brick bobcat,race,p0605,1
1120,giant gibbon; brick bobcat,race,p0615,1
1121,giant gibbon; brick bobcat,race,p0620,1
1122,giant gibbon; brick bobcat,race,p0626,1
1123,giant gibbon; brick bobcat,race,p0629,1
1124,giant gibbon; brick bobcat,race,p0633,1
1125,giant gibbon; brick bobcat,race,p0638,1
1126,giant gibbon; brick bobcat,race,p0639,1
1127,giant gibbon; brick bobcat,race,p0640,1
1128,giant gibbon; brick bobcat,race,p0655,1
1129,giant gibbon; brick bobcat,race,p0656,2
1130,giant gibbon; brick bobcat,race,p0658,1
1131,giant gibbon; brick bobcat,race,p0661,1
1132,giant gibbon; brick bobcat,race,p0669,1
1133,giant gibbon; brick bobcat,race,p0670,2
1134,giant gibbon; brick bobcat,race,p0672,5
1135,giant gibbon; brick bobcat,race,p0674,1
1136,giant gibbon; brick bobcat,race,p0678,1
1137,giant gibbon; brick bobcat,race,p0683,1
1138,giant gibbon; brick bobcat,race,p0686,1
1139,giant gibbon; brick bobcat,race,p0687,5
1140,giant gibbon; brick bobcat,race,p0698,1
1141,giant gibbon; brick bobcat,race,p0700,1
1142,giant gibbon; brick bobcat,race,p0703,1
1143,giant gibbon; brick bobcat,race,p0718,2
1144,giant gibbon; brick bobcat,race,p0744,1
1145,giant gibbon; brick bobcat,race,p0745,1
1146,giant gibbon; brick bobcat,race,p0753,1
1147,giant gibbon; brick bobcat,race,p0770,1
1148,giant gibbon; brick bobcat,race,p0771,5
1149,giant gibbon; brick bobcat,race,p0777,1
1150,giant gibbon; brick bobcat,race,p0779,1
1151,giant gibbon; brick bobcat,race,p0780,1
1152,giant gibbon; brick bobcat,race,p0783,1
1153,giant gibbon; brick bobcat,race,p0785,1
1154,giant gibbon; brick bobcat,race,p0786,2
1155,giant gibbon; brick bobcat,race,p0794,1
1156,giant gibbon; brick bobcat,race,p0798,1
1157,giant gibbon; brick bobcat,race,p0800,1
1158,giant gibbon; brick bobcat,race,p0820,1
1159,giant gibbon; brick bobcat,race,p0841,1
1160,giant gibbon; brick bobcat,race,p0849,1
1161,giant gibbon; brick bobcat,race,p0862,5
1162,giant gibbon; brick bobcat,race,p0867,2
1163,giant gibbon; brick bobcat,race,p0869,1
1164,giant gibbon; brick bobcat,race,p0872,1
1165,giant gibbon; brick bobcat,race,p0880,5
1166,giant gibbon; brick bobcat,race,p0891,1
1167,giant gibbon; brick bobcat,race,p0916,1
1168,giant gibbon; brick bobcat,race,p0917,1
1169,giant gibbon; brick bobcat,race,p0919,1
1170,giant gibbon; brick bobcat,race,p0922,1
1171,giant gibbon; brick bobcat,race,p0925,1
1172,giant gibbon; brick bobcat,race,p0927,1
1173,giant gibbon; brick bobcat,race,p0929,1
1174,giant gibbon; brick bobcat,race,p0930,1
1175,giant gibbon; brick bobcat,race,p0931,1
1176,giant gibbon; brick bobcat,race,p0933,5
1177,giant gibbon; brick bobcat,race,p0934,1
1178,giant gibbon; brick bobcat,race,p0936,1
1179,giant gibbon; brick bobcat,race,p0938,1
1180,giant gibbon; brick bobcat,race,p0939,1
1181,giant gibbon; brick bobcat,race,p0946,1
1182,giant gibbon; brick bobcat,race,p0951,2
1183,giant gibbon; brick bobcat,race,p0956,1
1184,giant gibbon; brick bobcat,race,p0962,1
1185,giant gibbon; brick bobcat,race,p0963,1
1186,giant gibbon; brick bobcat,race,p0969,1
1187,giant gibbon; brick bobcat,race,p0972,1
1188,giant gibbon; brick bobcat,race,p0975,1
1189,giant gibbon; brick bobcat,race,p0985,2
1190,giant gibbon; brick bobcat,race,p0993,2
1191,giant gibbon; brick bobcat,race,p0996,1
1192,giant gibbon; brick bobcat,race,p1011,1
1193,giant gibbon; brick bobcat,race,p1017,1
1194,giant gibbon; brick bobcat,race,p1020,1
1195,giant gibbon; brick bobcat,race,p1022,1
1196,giant gibbon; brick bobcat,race,p1024,1
1197,giant gibbon; brick bobcat,race,p1027,5
1198,giant gibbon; brick bobcat,race,p1028,1
1199,giant gibbon; brick bobcat,race,p1029,2
1200,giant gibbon; brick bobcat,race,p1032,1
1201,giant gibbon; brick bobcat,race,p1040,5
1202,giant gibbon; brick bobcat,race,p1047,2
1203,giant gibbon; brick bobcat,race,p1048,1
1204,giant gibbon; brick bobcat,race,p1053,5
1205,giant gibbon; brick bobcat,race,p1057,1
1206,giant gibbon; brick bobcat,race,p1058,1
1207,giant gibbon; brick bobcat,race,p1063,1
1208,giant gibbon; brick bobcat,race,p1064,1
1209,giant gibbon; brick bobcat,race,p1065,1
1210,giant gibbon; brick bobcat,race,p1069,1
1211,giant gibbon; brick bobcat,race,p1072,1
1212,giant gibbon; brick bobcat,race,p1073,2
1213,giant gibbon; brick bobcat,race,p1075,1
1214,giant gibbon; brick bobcat,race,p1076,2
1215,giant gibbon; brick bobcat,race,p1083,1
1216,giant gibbon; brick bobcat,race,p1089,1
1217,giant gibbon; brick bobcat,race,p1093,1
1218,giant gibbon; brick bobcat,race,p1096,1
1219,giant gibbon; brick bobcat,race,p1100,1
1220,giant gibbon; brick bobcat,race,p1106,2
1221,giant gibbon; brick bobcat,race,p1107,1
1222,giant gibbon; brick bobcat,race,p1113,1
1223,giant gibbon; brick bobcat,race,p1117,1
1224,giant gibbon; brick bobcat,race,p1120,1
1225,giant gibbon; brick bobcat,race,p1134,1
1226,giant gibbon; brick bobcat,race,p1136,1
1227,giant gibbon; brick bobcat,race,p1138,1
1228,giant gibbon; brick bobcat,race,p1144,1
1229,giant gibbon; brick bobcat,race,p1145,1
1230,giant gibbon; brick bobcat,race,p1147,1
1231,giant gibbon; brick bobcat,race,p1148,1
1232,giant gibbon; brick bobcat,race,p1154,1
1233,giant gibbon; brick bobcat,race,p1159,2
1234,giant gibbon; brick bobcat,race,p1167,5
1235,giant gibbon; brick bobcat,race,p1175,1
1236,giant gibbon; brick bobcat,race,p1178,1
1237,giant gibbon; brick bobcat,race,p1184,1
1238,giant gibbon; brick bobcat,race,p1186,1
1239,giant gibbon; brick bobcat,race,p1196,1
1240,giant gibbon; brick bobcat,race,p1197,5
1241,giant gibbon; brick bobcat,race,p1203,1
1242,giant gibbon; brick bobcat,race,p1219,2
1243,giant gibbon; brick bobcat,race,p1225,1
1244,giant gibbon; brick bobcat,race,p1234,1
1245,giant gibbon; brick bobcat,race,p1242,1
1246,giant gibbon; brick bobcat,race,p1244,1
1247,giant gibbon; brick bobcat,race,p1249,1
1248,giant gibbon; brick bobcat,race,p1250,1
1249,giant gibbon; brick bobcat,race,p1256,5
1250,giant gibbon; brick bobcat,race,p1258,1
1251,giant gibbon; brick bobcat,race,p1260,2
1252,giant gibbon; brick bobcat,race,p1262,1
1253,giant gibbon; brick bobcat,race,p1264,1
1254,giant gibbon; brick bobcat,race,p1265,1
1255,giant gibbon; brick bobcat,race,p1269,1
1256,giant gibbon; brick bobcat,race,p1272,1
1257,giant gibbon; brick bobcat,race,p1278,1
1258,giant gibbon; brick bobcat,race,p1281,5
1259,giant gibbon; brick bobcat,race,p1292,1
1260,giant gibbon; brick bobcat,race,p1299,1
1261,giant gibbon; brick bobcat,race,p1312,1
1262,giant gibbon; brick bobcat,race,p1322,1
1263,giant gibbon; brick bobcat,race,p1326,1
1264,giant gibbon; brick bobcat,race,p1330,1
1265,giant gibbon; brick bobcat,race,p1335,1
1266,giant gibbon; brick bobcat,race,p1337,1
1267,giant gibbon; brick bobcat,race,p1340,1
1268,giant gibbon; brick bobcat,race,p1345,1
1269,giant gibbon; brick bobcat,race,p1351,1
1270,giant gibbon; brick bobcat,race,p1355,1
1271,giant gibbon; brick bobcat,race,p1362,1
1272,giant gibbon; brick bobcat,race,p1365,1
1273,giant gibbon; brick bobcat,race,p1366,1
1274,giant gibbon; brick bobcat,race,p1367,1
1275,giant gibbon; brick bobcat,race,p1370,1
1276,giant gibbon; brick bobcat,race,p1371,1
1277,giant gibbon; brick bobcat,race,p1373,1
1278,giant gibbon; brick bobcat,race,p1375,1
1279,giant gibbon; brick bobcat,race,p1376,1
1280,giant gibbon; brick bobcat,race,p1379,2
1281,giant gibbon; brick bobcat,race,p1381,1
1282,giant gibbon; brick bobcat,race,p1393,1
1283,giant gibbon; brick bobcat,race,p1396,5
1284,giant gibbon; brick bobcat,race,p1398,5
1285,giant gibbon; brick bobcat,race,p1404,1
1286,giant gibbon; brick bobcat,race,p1406,1
1287,giant gibbon; brick bobcat,race,p1407,1
1288,giant gibbon; brick bobcat,race,p1409,1
1289,giant gibbon; brick bobcat,race,p1412,2
1290,giant gibbon; brick bobcat,race,p1414,1
1291,giant gibbon; brick bobcat,race,p1424,1
1292,giant gibbon; brick bobcat,race,p1425,1
1293,giant gibbon; brick bobcat,race,p1429,2
1294,giant gibbon; brick bobcat,race,p1434,1
1295,giant gibbon; brick bobcat,race,p1441,2
1296,giant gibbon; brick bobcat,race,p1445,2
1297,giant gibbon; brick bobcat,race,p1450,1
1298,giant gibbon; brick bobcat,race,p1454,1
1299,giant gibbon; brick bobcat,race,p1456,1
1300,giant gibbon; brick bobcat,race,p1457,2
1301,giant gibbon; brick bobcat,race,p1458,1
1302,giant gibbon; brick bobcat,race,p1469,1
1303,giant gibbon; brick bobcat,race,p1470,1
1304,giant gibbon; brick bobcat,race,p1481,5
1305,giant gibbon; brick bobcat,race,p1488,5
1306,giant gibbon; brick bobcat,race,p1492,1
1307,giant gibbon; brick bobcat,race,p1495,1
1308,giant gibbon; brick bobcat,race,p1497,1
1309,giant gibbon; brick bobcat,race,p1499,1
1310,giant gibbon; brick bobcat,race,p1503,1
1311,giant gibbon; brick bobcat,race,p1511,1
1312,giant gibbon; brick bobcat,race,p1512,1
1313,giant gibbon; brick bobcat,race,p1518,1
1314,giant gibbon; brick bobcat,race,p1519,1
1315,giant gibbon; brick bobcat,race,p1520,1
1316,giant gibbon; brick bobcat,race,p1524,1
1317,giant gibbon; brick bobcat,race,p1526,1
1318,giant gibbon; brick bobcat,race,p1537,1
1319,giant gibbon; brick bobcat,race,p1545,1
1320,giant gibbon; brick bobcat,race,p1547,2
1321,giant gibbon; brick bobcat,race,p1552,5
1322,giant gibbon; brick bobcat,race,p1567,1
1323,giant gibbon; brick bobcat,race,p1568,1
1324,giant gibbon; brick bobcat,race,p1579,1
1325,giant gibbon; brick bobcat,race,p1587,2
1326,giant gibbon; brick bobcat,race,p1596,1
1327,giant gibbon; brick bobcat,race,p1600,1
1328,giant gibbon; brick bobcat,race,p1603,2
1329,giant gibbon; brick bobcat,race,p1604,1
1330,giant gibbon; brick bobcat,race,p1610,1
1331,giant gibbon; brick bobcat,race,p1618,1
1332,giant gibbon; brick bobcat,race,p1619,1
1333,giant gibbon; brick bobcat,race,p1622,5
1334,giant gibbon; brick bobcat,race,p1623,5
1335,giant gibbon; brick bobcat,race,p1630,1
1336,giant gibbon; brick bobcat,race,p1641,1
1337,giant gibbon; brick bobcat,race,p1649,5
1338,giant gibbon; brick bobcat,race,p1652,5
1339,giant gibbon; brick bobcat,race,p1665,1
1340,giant gibbon; brick bobcat,race,p1669,1
1341,giant gibbon; brick bobcat,race,p1685,1
1342,giant gibbon; brick bobcat,race,p1693,1
1343,giant gibbon; brick bobcat,race,p1698,2
1344,giant gibbon; brick bobcat,race,p1704,1
1345,giant gibbon; brick bobcat,race,p1711,1
1346,giant gibbon; brick bobcat,race,p1718,1
1347,giant gibbon; brick bobcat,race,p1732,1
1348,giant gibbon; brick bobcat,race,p1739,1
1349,giant gibbon; brick bobcat,race,p1741,1
1350,giant gibbon; brick bobcat,race,p1746,1
1351,giant gibbon; brick bobcat,race,p1751,1
1352,giant gibbon; brick bobcat,race,p1754,1
1353,giant gibbon; brick bobcat,race,p1769,1
1354,giant gibbon; brick bobcat,race,p1771,1
1355,giant gibbon; brick bobcat,race,p1776,2
1356,giant gibbon; brick bobcat,race,p1780,1
1357,giant gibbon; brick bobcat,race,p1785,1
1358,giant gibbon; brick bobcat,race,p1791,2
1359,giant gibbon; brick bobcat,race,p1793,1
1360,giant gibbon; brick bobcat,race,p1796,1
1361,giant gibbon; brick bobcat,race,p1805,1
1362,giant gibbon; brick bobcat,race,p1812,1
1363,giant gibbon; brick bobcat,race,p1816,1
1364,giant gibbon; brick bobcat,race,p1819,1
1365,giant gibbon; brick bobcat,race,p1825,1
1366,giant gibbon; brick bobcat,race,p1836,1
1367,giant gibbon; brick bobcat,race,p1839,1
1368,giant gibbon; brick bobcat,race,p1861,5
1369,giant gibbon; brick bobcat,race,p1863,1
1370,giant gibbon; brick bobcat,race,p1873,1
1371,giant gibbon; brick bobcat,race,p1875,1
1372,giant gibbon; brick bobcat,race,p1876,1
1373,giant gibbon; brick bobcat,race,p1877,1
1374,giant gibbon; brick bobcat,race,p1880,1
1375,giant gibbon; brick bobcat,race,p1883,5
1376,giant gibbon; brick bobcat,race,p1889,1
1377,giant gibbon; brick bobcat,race,p1893,5
1378,giant gibbon; brick bobcat,race,p1896,1
1379,giant gibbon; brick bobcat,race,p1913,1
1380,giant gibbon; brick bobcat,race,p1922,1
1381,giant gibbon; brick bobcat,race,p1930,1
1382,giant gibbon; brick bobcat,race,p1935,1
1383,giant gibbon; brick bobcat,race,p1940,5
1384,giant gibbon; brick bobcat,race,p1948,1
1385,giant gibbon; brick bobcat,race,p1950,1
1386,giant gibbon; brick bobcat,race,p1954,1
1387,giant gibbon; brick bobcat,race,p1956,1
1388,giant gibbon; brick bobcat,race,p1958,1
1389,giant gibbon; brick bobcat,race,p1967,1
1390,giant gibbon; brick bobcat,race,p1973,1
1391,giant gibbon; brick bobcat,race,p1978,1
1392,giant gibbon; brick bobcat,race,p1983,1
1393,giant gibbon; brick bobcat,race,p1984,2
1394,giant gibbon; brick bobcat,race,p1995,1
1395,giant gibbon; brick bobcat,race,p1996,1
1396,giant gibbon; brick bobcat,race,p1997,1
1397,giant gibbon; brick bobcat,race,p2001,1
1398,giant gibbon; brick bobcat,race,p2002,2
1399,giant gibbon; brick bobcat,race,p2013,1
1400,giant gibbon; brick bobcat,race,p2014,1
1401,giant gibbon; brick bobcat,race,p2016,5
1402,giant gibbon; brick bobcat,race,p2018,2
1403,giant gibbon; brick bobcat,race,p2023,1
1404,giant gibbon; brick bobcat,race,p2025,1
1405,giant gibbon; brick bobcat,race,p2028,1
1406,giant gibbon; brick bobcat,race,p2030,1
1407,giant gibbon; brick bobcat,race,p2033,1
1408,giant gibbon; brick bobcat,race,p2040,2
1409,giant gibbon; brick bobcat,race,p2051,1
1410,giant gibbon; brick bobcat,race,p2052,1
1411,giant gibbon; brick bobcat,race,p2066,1
1412,giant gibbon; brick bobcat,race,p2067,1
1413,giant gibbon; brick bobcat,race,p2073,1
1414,giant gibbon; brick bobcat,race,p2077,2
1415,giant gibbon; brick bobcat,race,p2078,5
1416,giant gibbon; brick bobcat,race,p2086,1
1417,giant gibbon; brick bobcat,race,p2089,1
1418,giant gibbon; brick bobcat,race,p2093,1
1419,giant gibbon; brick bobcat,race,p2094,1
1420,giant gibbon; brick bobcat,race,p2111,2
1421,giant gibbon; brick bobcat,race,p2117,1
1422,giant gibbon; brick bobcat,race,p2121,1
1423,giant gibbon; brick bobcat,race,p2127,1
1424,giant gibbon; brick bobcat,race,p2141,1
1425,giant gibbon; brick bobcat,race,p2142,2
1426,giant gibbon; brick bobcat,race,p2143,1
1427,giant gibbon; brick bobcat,race,p2153,3
1428,giant gibbon; brick bobcat,race,p2155,3
1429,giant gibbon; brick bobcat,race,p2169,3
1430,giant gibbon; brick bobcat,race,p2187,3
1431,giant gibbon; brick bobcat,race,p2188,3
1432,giant gibbon; brick bobcat,race,p2197,3
1433,giant gibbon; brick bobcat,race,p2213,3
1434,giant gibbon; brick bobcat,race,p2214,3
1435,giant gibbon; brick bobcat,race,p2215,3
1436,giant gibbon; brick bobcat,race,p2220,3
1437,giant gibbon; brick bobcat,race,p2223,3
1438,giant gibbon; brick bobcat,race,p2229,3
1439,giant gibbon; brick bobcat,race,p2234,3
1440,giant gibbon; brick bobcat,race,p2237,3
1441,giant gibbon; brick bobcat,race,p2238,3
1442,giant gibbon; brick bobcat,race,p2244,3
1443,giant gibbon; brick bobcat,race,p2248,3
1444,giant gibbon; brick bobcat,race,p2252,3
1445,giant gibbon; brick bobcat,race,p2255,3
1446,giant gibbon; brick bobcat,race,p2261,3
1447,giant gibbon; brick bobcat,race,p2263,3
1448,giant gibbon; brick bobcat,race,p2273,3
1449,giant gibbon; brick bobcat,race,p2275,3
1450,giant gibbon; brick bobcat,race,p2276,3
1451,giant gibbon; brick bobcat,race,p2283,3
1452,giant gibbon; brick bobcat,race,p2287,3
1453,giant gibbon; brick bobcat,race,p2296,3
1454,giant gibbon; brick bobcat,race,p2298,3
1455,giant gibbon; brick bobcat,race,p2304,3
1456,giant gibbon; brick bobcat,race,p2310,3
1457,giant gibbon; brick bobcat,race,p2322,3
1458,giant gibbon; brick bobcat,race,p2326,3
1459,giant gibbon; brick bobcat,race,p2330,3
1460,giant gibbon; brick bobcat,race,p2331,3
1461,giant gibbon; brick bobcat,race,p2333,3
1462,giant gibbon; brick bobcat,race,p2347,3
1463,giant gibbon; brick bobcat,race,p2350,3
1464,giant gibbon; brick bobcat,race,p2351,3
1465,giant gibbon; brick bobcat,race,p2353,3
1466,giant gibbon; brick bobcat,race,p2355,3
1467,giant gibbon; brick bobcat,race,p2363,3
1468,giant gibbon; brick bobcat,race,p2378,3
1469,giant gibbon; brick bobcat,race,p2380,3
1470,giant gibbon; brick bobcat,race,p2387,3
1471,giant gibbon; brick bobcat,race,p2398,3
1472,giant gibbon; brick bobcat,race,p2400,3
1473,giant gibbon; brick bobcat,race,p2403,3
1474,giant gibbon; brick bobcat,race,p2408,3
1475,giant gibbon; brick bobcat,race,p2418,3
1476,giant gibbon; brick bobcat,race,p2426,3
1477,giant gibbon; brick bobcat,race,p2428,3
1478,giant gibbon; brick bobcat,race,p2434,3
1479,giant gibbon; brick bobcat,race,p2446,3
1480,giant gibbon; brick bobcat,race,p2452,3
1481,giant gibbon; brick bobcat,race,p2454,3
1482,giant gibbon; brick bobcat,race,p2462,3
1483,giant gibbon; brick bobcat,race,p2467,3
1484,giant gibbon; brick bobcat,race,p2482,3
1485,giant gibbon; brick bobcat,race,p2489,3
1486,giant gibbon; brick bobcat,race,p2490,3
1487,giant gibbon; brick bobcat,race,p2494,3
1488,giant gibbon; brick bobcat,race,p2502,3
1489,giant gibbon; brick bobcat,race,p2503,3
1490,giant gibbon; brick bobcat,race,p2522,3
1491,giant gibbon; brick bobcat,race,p2524,3
1492,giant gibbon; brick bobcat,race,p2533,3
1493,giant gibbon; brick bobcat,race,p2566,3
1494,giant gibbon; brick bobcat,race,p2571,3
1495,giant gibbon; brick bobcat,race,p2573,3
1496,giant gibbon; brick bobcat,race,p2582,3
1497,giant gibbon; brick bobcat,race,p2591,3
1498,giant gibbon; brick bobcat,race,p2592,3
1499,giant gibbon; brick bobcat,race,p2595,3
1500,giant gibbon; brick bobcat,education,p0016,4
1501,giant gibbon; brick bobcat,education,p0022,4
1502,giant gibbon; brick bobcat,education,p0023,5
1503,giant gibbon; brick bobcat,education,p0026,4
1504,giant gibbon; brick bobcat,education,p0034,3
1505,giant gibbon; brick bobcat,education,p0036,3
1506,giant gibbon; brick bobcat,education,p0037,4
1507,giant gibbon; brick bobcat,education,p0042,3
1508,giant gibbon; brick bobcat,education,p0057,3
1509,giant gibbon; brick bobcat,education,p0066,4
1510,giant gibbon; brick bobcat,education,p0069,3
1511,giant gibbon; brick bobcat,education,p0072,4
1512,giant gibbon; brick bobcat,education,p0073,4
1513,giant gibbon; brick bobcat,education,p0082,4
1514,giant gibbon; brick bobcat,education,p0091,4
1515,giant gibbon; brick bobcat,education,p0092,2
1516,giant gibbon; brick bobcat,education,p0093,4
1517,giant gibbon; brick bobcat,education,p0095,3
1518,giant gibbon; brick bobcat,education,p0107,3
1519,giant gibbon; brick bobcat,education,p0114,5
1520,giant gibbon; brick bobcat,education,p0116,2
1521,giant gibbon; brick bobcat,education,p0118,3
1522,giant gibbon; brick bobcat,education,p0119,3
1523,giant gibbon; brick bobcat,education,p0126,3
1524,giant gibbon; brick bobcat,education,p0129,5
1525,giant gibbon; brick bobcat,education,p0136,3
1526,giant gibbon; brick bobcat,education,p0138,2
1527,giant gibbon; brick bobcat,education,p0144,4
1528,giant gibbon; brick bobcat,education,p0150,2
1529,giant gibbon; brick bobcat,education,p0152,3
1530,giant gibbon; brick bobcat,education,p0158,2
1531,giant gibbon; brick bobcat,education,p0161,3
1532,giant gibbon; brick bobcat,education,p0164,2
1533,giant gibbon; brick bobcat,education,p0175,3
1534,giant gibbon; brick bobcat,education,p0177,4
1535,giant gibbon; brick bobcat,education,p0178,6
1536,giant gibbon; brick bobcat,education,p0181,4
1537,giant gibbon; brick bobcat,education,p0186,3
1538,giant gibbon; brick bobcat,education,p0196,4
1539,giant gibbon; brick bobcat,education,p0198,5
1540,giant gibbon; brick bobcat,education,p0202,4
1541,giant gibbon; brick bobcat,education,p0205,5
1542,giant gibbon; brick bobcat,education,p0207,4
1543,giant gibbon; brick bobcat,education,p0211,3
1544,giant gibbon; brick bobcat,education,p0227,5
1545,giant gibbon; brick bobcat,education,p0229,2
1546,giant gibbon; brick bobcat,education,p0232,5
1547,giant gibbon; brick bobcat,education,p0233,2
1548,giant gibbon; brick bobcat,education,p0237,5
1549,giant gibbon; brick bobcat,education,p0258,4
1550,giant gibbon; brick bobcat,education,p0268,2
1551,giant gibbon; brick bobcat,education,p0274,5
1552,giant gibbon; brick bobcat,education,p0275,4
1553,giant gibbon; brick bobcat,education,p0277,4
1554,giant gibbon; brick bobcat,education,p0288,4
1555,giant gibbon; brick bobcat,education,p0291,4
1556,giant gibbon; brick bobcat,education,p0307,3
1557,giant gibbon; brick bobcat,education,p0308,3
1558,giant gibbon; brick bobcat,education,p0317,3
1559,giant gibbon; brick bobcat,education,p0325,4
1560,giant gibbon; brick bobcat,education,p0327,5
1561,giant gibbon; brick bobcat,education,p0334,6
1562,giant gibbon; brick bobcat,education,p0336,4
1563,giant gibbon; brick bobcat,education,p0338,1
1564,giant gibbon; brick bobcat,education,p0342,4
1565,giant gibbon; brick bobcat,education,p0349,5
1566,giant gibbon; brick bobcat,education,p0356,4
1567,giant gibbon; brick bobcat,education,p0358,4
1568,giant gibbon; brick bobcat,education,p0363,4
1569,giant gibbon; brick bobcat,education,p0364,5
1570,giant gibbon; brick bobcat,education,p0369,5
1571,giant gibbon; brick bobcat,education,p0370,2
1572,giant gibbon; brick bobcat,education,p0371,4
1573,giant gibbon; brick bobcat,education,p0379,3
1574,giant gibbon; brick bobcat,education,p0386,5
1575,giant gibbon; brick bobcat,education,p0396,5
1576,giant gibbon; brick bobcat,education,p0403,3
1577,giant gibbon; brick bobcat,education,p0405,4
1578,giant gibbon; brick bobcat,education,p0412,4
1579,giant gibbon; brick bobcat,education,p0415,3
1580,giant gibbon; brick bobcat,education,p0416,4
1581,giant gibbon; brick bobcat,education,p0417,2
1582,giant gibbon; brick bobcat,education,p0418,2
1583,giant gibbon; brick bobcat,education,p0430,5
1584,giant gibbon; brick bobcat,education,p0431,5
1585,giant gibbon; brick bobcat,education,p0434,2
1586,giant gibbon; brick bobcat,education,p0438,4
1587,giant gibbon; brick bobcat,education,p0441,5
1588,giant gibbon; brick bobcat,education,p0442,3
1589,giant gibbon; brick bobcat,education,p0449,5
1590,giant gibbon; brick bobcat,education,p0450,4
1591,giant gibbon; brick bobcat,education,p0465,5
1592,giant gibbon; brick bobcat,education,p0471,3
1593,giant gibbon; brick bobcat,education,p0477,3
1594,giant gibbon; brick bobcat,education,p0483,5
1595,giant gibbon; brick bobcat,education,p0486,3
1596,giant gibbon; brick bobcat,education,p0487,4
1597,giant gibbon; brick bobcat,education,p0489,5
1598,giant gibbon; brick bobcat,education,p0497,6
1599,giant gibbon; brick bobcat,education,p0502,5
1600,giant gibbon; brick bobcat,education,p0503,4
1601,giant gibbon; brick bobcat,education,p0506,3
1602,giant gibbon; brick bobcat,education,p0511,4
1603,giant gibbon; brick bobcat,education,p0523,5
1604,giant gibbon; brick bobcat,education,p0534,6
1605,giant gibbon; brick bobcat,education,p0536,3
1606,giant gibbon; brick bobcat,education,p0542,4
1607,giant gibbon; brick bobcat,education,p0547,2
1608,giant gibbon; brick bobcat,education,p0553,4
1609,giant gibbon; brick bobcat,education,p0559,4
1610,giant gibbon; brick bobcat,education,p0566,4
1611,giant gibbon; brick bobcat,education,p0568,3
1612,giant gibbon; brick bobcat,education,p0570,1
